description,target
Accumulated Depreciation-Office Buildin,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Buildings - Office,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Accumulated Depreciation-Office Buildin,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Buildings -Office - Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Accumulated Depreciation-Office Buildin,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Investment Property,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_InvestProp-->
Capital Work In Progress,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_CIPNet-->BS_PPE_CIP-->
Capital Work In Progress -Adjustments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_CIPNet-->BS_PPE_CIP-->
Capital-work-in progress -Gross block?S,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_CIPNet-->BS_PPE_CIP-->
Capital Work In Progress-Plant & Machinery,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_CIPNet-->BS_PPE_CIP-->
Capital work in progress ,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_CIPNet-->BS_PPE_CIP-->
Provision for impairment of Assets,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_CIPNet-->BS_PPE_CIP-->
Pre- Operative Expenses,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_CIPNet-->BS_PPE_CIP-->
Plant & Machinery,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation-Plant&Machiner,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Plant & Machinery- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation-Plant&Mach -Ad,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
"Property, plant and equipment",BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
"Property, plant and equipment-Accumulated Dep",BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
"Roads, Water Supply, Culverts,Greenbelt",BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
"Roads,Water Supply,Culverts,Greenbelts-",BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
"Acc. Depreciation-roads, Water supply",BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
"Acc. Depreciation-roads, Water supply A",BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Landfill,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Landfill-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation - Landfill,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation- Landfill - Ad,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Furniture & Fixtures,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Furniture & Fixtures- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Furniture&Fixtures,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation- Furniture &Fixtures-,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Vehicles (Motor Buses and Lorries),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Vehicles (Motor Buses and Lorries)- Adj,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Dep Vehicles (Motor Bus & Lorries),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Dep Vehicles (Motor Bus & Lorries),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Vehicles- Others,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Vehicles- Others- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation - Vehicles,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
LAB EQUIPMENT,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Lab Equipment- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation - Lab Equipments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation - Lab Equipmen,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Office Equipments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Office Equipments- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Office Equipments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Office Equipment-Adju,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Computer  Equipments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Computer  Equipments- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Computer Equipments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Computer Equipment-Ad,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Gross Block - Containers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Containers - Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Dep - Containers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Containers Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Gross Block - Solar Pond,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Solar Pond-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Dep  - Solar Pond,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Solar Pond Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Gross Block - Green Belt,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Green Belt - Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Dep  - Green Belt,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Acc. Depreciation-Green Belt Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Leasehold Land,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Leasehold Land - Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation-Leasehold Land,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Accumulated Depreciation-Leasehold Land,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
SCA adjustment entry ? FA,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
SCA Ind AS ? FA Acc.Dep,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_PE-->BS_PPE_PME-->
Investments In Subsidiaries(IC)-UnQuote-Adjus,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments others Unquoted-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Invest.Opt.Covertable Debentures Subsi.,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments Pref Shares Subsidiaries -,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments Pref Shares Subsidiaries -Adjustm,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Deemed investment in Group Companies,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Provision for Doubtful Investments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Fair Value of Investments IND AS,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Long Term -Non Trade - Quoted,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments in Subsidiaries (IC)-Quoted,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Inv.-Cos-Related Parties (RP)-UnQuoted,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
PROVISION FOR DIMINUTION OF INVESTMENTS,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Inv.In Cos-RelatedParties(RP)-Quoted,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Inv.-Cos-Related Parties (RP)-UnQuoted-,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments In Associates  (IC)-UnQuote-Adjus,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments Pref Shares Associates-UnQu,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investment in an associate and a joint venture,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments In JV (IC)-UnQuoted,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments In Subsidiaries(IC)-UnQuote,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Investments In Associates  (IC)-UnQuote,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Invest-->BS_InvestGrp-->
Non Current Trade Receivables,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->BS_LT_AR_3rd-->
Inter Company - Customers- NC Adjustmen,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->BS_LT_AR_3rd-->
Domestic-Muncipal-Non Current Adjustmen,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->BS_LT_AR_3rd-->
Provision for Doubtful Receivable Non C,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->BS_LT_AR_3rd-->
Non-Current-Prepayments-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->BS_LT_OthPrepay-->
Prepaid Others-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->BS_LT_OthPrepay-->
Share Application money pending Allotment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non Current-Share application pending allotment-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non Current-Retention money receivable-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non Current-Provision for retention Money-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Retention- Post closure (Adjustment),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Inter Company - Financial Asset-NC Adju,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non Current-Other receivable from related party-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Advance - Capital Expenditure,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Advance - Capital Expenditure-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Capital Advances-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Capital Advances-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Provision for capital advances-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Advance to Inter company opex-Inter.Co-,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Others assets-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Other assets -Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Advance to related party-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Service Tax ? Advance Paid a/c,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Property Tax paid under protest,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
VAT PrePaid,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Balance with statutory authority-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
VAT Receivable - TDS,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Contract Assets Non-current,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non Current-Financial Guarntee Premium-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Prepaid Expenses Financial guantee prem,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Advances to supplier and service provider-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Provision for advances to supplier and service provider-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-  - Advances to supplier and service provider-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Other advances-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Advances other than capital advances-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Non-Current-Advance to employees-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Provision for Landfi,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Advance Capital Expenditure - Outside REEL group,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_AR-->
Deferred Tax Assets,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_DTA-->
Deferred tax asset  (Net),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_DTA-->
Advance Income Tax,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Income Tax -TP- Advance Paid A/c,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Income Tax Receivable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
TDS Receivable - Service Income,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
TDS Receivable-Banks / FI,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
TDS Receivable-Customers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Tax Collected at Source (TCS) Receivabl,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Taxes & Duties Paid under Protest,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
TDS Receivable - 80 IA,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
TDS Receivable - Customers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Current-Advance income tax,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Current-Tax paid under protest,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Non-Current-Advance income tax,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Non-Current-Tax paid under protest,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Advance Income Tax-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Minimum Alternate Tax (MAT) Credit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
MAT Credit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_TaxRecov-->
Investments - Loans and advances -debt,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_OthInvest-->
ICD - Loans -Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_LoansRecGrp-->
Non-Current-Loans to related parties,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_LoansRecGrp-->
Non-Current-Inter corporate deposits to related party,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_LoansRecGrp-->
Investments-Loans&advances-debt part-I-,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_LoansRecGrp-->
Non-Current-Loans to employees,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_LoansRecGrp-->
Non Current-Loans and advances to employees-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_LoansRecGrp-->
Non-Current-Loans Others,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_LoansRecGrp-->
Investments others Unquoted,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
